id,name,category,address,tags,thumbnailUrl,descriptionShort,openingHours,phone,priceInfo,lat,lng
haenyeoui_jip_aewol,해녀의집 애월,food,제주 제주시 애월읍 애월해안로 591,"해산물,제주향토음식,한식",,해녀들이 직접 채취한 해산물을 맛볼 수 있는 현지 밥상,10:00-20:00(14:00-15:00 브레이크타임) 매주 화요일 정기휴무,064-713-9366,"반려동물 동반, 포장", 33.3685, 126.2830
doduhang_sikdang,도두항식당 도두,food,제주 제주시 도두항서길 11-2,"해산물,한식",,몸국 한 그릇으로 느끼는 제주의 정취,08:00-16:00 매주 목요일 정기휴무,064-748-5858,"예약, 단체 이용 가능, 포장, 남/녀 화장실 구분, 유아의자", 33.4920, 126.4780
buchon_seongsan,부촌 성산,food,제주 서귀포시 성산읍 동류암로 33 1층,"해산물,한식",,전복 가득 미역국과 갈치조림의 조화,10:30-21:00(15:00-17:00 브레이크타임) 매주 목요일 정기휴무,064-784-0149,"예약, 단체 이용 가능, 간편결제, 주차", 33.4570, 126.9360
woljeong_galbibap,월정리갈비밥 월정리,food,제주 제주시 구좌읍 월정7길 46,"한식,제주향토음식",,고소한 갈비밥으로 유명한 월정리의 다이닝 맛집,11:00-19:40(15:00-17:00 브레이크타임),0507-1406-0430,"포장, 대기공간, 남/녀 화장실 구분, 무선 인터넷, 주차", 33.554817, 126.796900
michin_bueok_main,미친부엌 제주본점,food,"제주 제주시 탑동로 15 1, 2층","양식,해산물",,트렌디한 분위기에서 즐기는 감각적인 양식 메뉴,17:30-24:00 매주 월요일 정기휴무,0507-1328-6382,"무선 인터넷, 남/녀 화장실 구분, 포장, 배달", 33.517007, 126.523196
aewol_salmon,애월연어 애월,food,제주 제주시 애월읍 하소로 660,"일식,해산물",,신선한 연어와 깔끔한 플레이팅이 돋보이는 일식 전문점,11:00-21:00(15:00-17:00 브레이크타임) 매주 일요일 정기휴무,0507-1467-5301,"남/녀 화장실 구분, 무선 인터넷, 예약, 포장, 유아시설", 33.4256552, 126.3956803
mayonnaise_sikdang_jeju,식당마요네즈 제주시,food,제주 제주시 다랑곶3길 18,양식,,감성적인 플레이팅의 창의적인 양식 요리가 인기,11:00-21:00(15:00-17:00 브레이크타임) 매주 일요일 정기휴무,010-7444-9142,정보없음, 33.5000, 126.5200
perlo_andeok,페를로 안덕면,food,제주 서귀포시 안덕면 덕수회관로74번길 33,양식,,파스타와 스테이크가 조화로운 트렌디한 안덕 양식당,11:30-20:45(15:45-17:30 브레이크타임),0507-1396-9501,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분", 33.2460, 126.1700
mimipasta,미미파스타,food,제주 서귀포시 남원읍 하례학림로 24 1층,"양식,한식",,로컬 재료를 활용한 감각적인 퓨전 요리를 즐기는 공간,"11:00-20:00(15:00-17:00 브레이크타임) 매주 토요일, 일요일 정기휴무",0507-1485-3379,"주차, 무선 인터넷, 포장", 33.5000, 126.5200
dulle_gil_jungmun,둘레길 중문,food,제주 서귀포시 천제연로 209-1 2층 둘레길,"한식,양식",,중문에서 든든한 한식 한 상을 제공하는 정겨운 식당,10:00-21:30(15:00-16:30 브레이크타임),0507-1379-3255,"단체 이용 가능, 예약, 무선 인터넷, 포장, 배달, 남/녀 화장실 구분", 33.2475, 126.4120
yangga_brothers_jeju,양가형제 제주,food,제주 제주시 한경면 청수동8길 3,"양식,더보기",,어니언링과 함께하는 행복한 한입,11:00-19:30(15:00-16:00 브레이크타임),0507-1405-7734,"예약, 포장, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능", 33.2500, 126.4130
haha_hoho_udo,하하호호 우도,food,제주 제주시 우도면 우도해안길 532 하하호호,"양식,더보기",,땅콩쉐이크에 찍어먹는 감자튀김의 매력,10:30-17:00,0507-1344-1365,"단체 이용 가능, 반려동물 동반, 포장, 유아의자, 대기공간", 33.5085, 126.9450
fizz_aewol,피즈 애월,food,제주 제주시 애월읍 애월로 29 1층 피즈 애월,양식,,가벼운 핑거푸드부터 식사까지 가능한 애월의 트렌디한 식당,10:00-19:30,0507-1348-5148,"단체 이용 가능, 포장, 무선 인터넷, 남/녀 화장실 구분", 33.4620, 126.3240
oneunjeong_gimbap,오는정김밥 서귀포,food,제주 서귀포시 동문동로 2 1층 오는정김밥,"한식,제주향토음식",,담백한 김밥과 향토 스타일의 메뉴가 인기 많은 서귀포 명물,09:00-19:00(13:00-14:30 브레이크타임) 매주 일요일 정기휴무,064-762-8927,정보없음, 33.2509, 126.5652
jeju_kim_manbok_main,제주김만복 본점,food,제주 제주시 오라로 41,"한식,해산물",,고소한 주먹밥과 해산물 요리가 어우러진 제주의 대표 분식집,"00:00-24:00 24시간영업, 연중무휴",064-759-8582,"남/녀 화장실 구분, 포장, 배달, 단체 이용 가능, 주차", 33.4560, 126.9360
dajeongine_seogwipo,다정이네 서귀포시,food,제주 서귀포시 동문로 59-1,한식,,집밥처럼 따뜻한 한식을 제공하는 서귀포의 전통 식당,07:00-20:00(15:00-16:00 브레이크타임),070-8900-8070,"예약, 포장", 33.2500, 126.5600
sarang_bunsik_dongmun,사랑분식 동문시장,food,제주 제주시 동문로4길 12,한식,,시장 분위기 속에서 든든한 분식을 즐길 수 있는 동문시장의 인기 맛집,"10:30-19:00(매주 월요일, 화요일, 수요일 정기휴무)",064-757-5058,정보없음, 33.51160, 126.52602
dotori_kitchen_main,도토리키친 본점,food,제주 제주시 북성로 59 1층,"한식,일식",,빠른 회전으로 만나는 제주 소바 맛집,11:00-17:00,0507-1463-1021,주차, 33.5000, 126.5200
nansanri_dabang,난산리다방 제주성산,food,제주 서귀포시 성산읍 난산로41번길 39-2 난산리다방,"한식,브런치",,감성 가득한 브런치와 음료를 즐길 수 있는 제주 감성 카페,10:00-16:00,0507-1362-1317,주차, 33.4605, 126.9442
dangdang_aewol,당당 애월,food,제주 제주시 애월읍 중엄안1길 25 당당,"양식,일식",,돈가스와 퓨전 요리가 인기 많은 애월의 캐주얼 식당,"10:00-16:00 매주 화요일, 수요일 정기휴무)",070-4159-0327,"주차, +J128남/녀 화장실 구분, 무선 인터넷", 33.3670, 126.2870
neulbom_heukdwaeji_jeju,늘봄흑돼지 제주시,food,제주 제주시 한라대학로 12,"흑돼지,한식",,육즙 가득한 흑돼지를 합리적으로 즐길 수 있는 제주의 유명 맛집,11:00-23:00,064-744-9001,주차, 33.4792895, 126.4728779
abebe_bakery_dongmun,아베베베이커리 제주동문시장,food,제주 제주시 동문로6길 4 1-3층(일도일동),"양식,더보기",,갓 구운 빵과 디저트가 인기 있는 동문시장의 대표 베이커리,10:00-21:00,0507-1414-0750,"포장, 배달, 예약, 단체 이용 가능", 33.5023, 126.5266
gasia_bang_guksu_seongsan,가시아방국수 성산,food,제주 서귀포시 성산읍 섭지코지로 10,"고기국수,제주향토음식,한식",,깊고 시원한 고기국수로 많은 여행객이 찾는 성산의 명물 국숫집,10:00-20:30 매주 수요일 정기휴무,064-783-0987,주차, 33.4555, 126.9365
